Description,ASIN,Product Description,Manufacturer
"This spacious laptop backpack has the total capacity of 28 litres. The bag is further segregated into 3 compartments, including a padded laptop compartment which is ideal for carrying laptops up to 15.6 inches. This laptop backpack sports the utilitarian Dimensions of 32 cm x 16 cm x 48 cm (L x b x H). this bag will allow you to carry your laptop and its various peripherals in a safe and organized manner without having to worry about space.", B07SB9LQXH,45 x 35 x 10 cm; 150 Grams,? Crea
"Smart and Practical Laptop Backpack Travel hands-free in sleek, forward-thinking style with our Vx Touring 17'' Laptop Backpack. It takes the backpack concept and reinvents it for the most seasoned global business traveler. Detail driven and cleverly constructed, it neatly houses a 17 laptop and all your mobile office essentials. Lockable zippers ensure high security while youre exploring the urban jungle or jetting off to meetings.", B07MH3S3Q1,19 x 31 x 49 cm; 1.08 Kilograms," ? Victorinox, Victorinox India Pvt Ltd,022-6262-8888"
"Material This synthetic possesses many properties that make it a very useful fiber in many applications. It retains its shape rather well, which ensures longevity of the garment. This material is very responsive and resilient as well as relatively resistant to heat, UV rays and chemicals.", B08WLS5XBP,10 x 3 x 18 cm; 400 Grams,WE MANUFACTURE ALL KINDS OF BAGS FOR MORE DETAIL CONTACT- 7488730511
"Are you looking for a fully loaded backpack for inter or intra city travel or an adventure trip? Look no further. This handcrafted uppercase Tall Buy Laptop Backpack is the perfect large and sturdy yet stylish and lightweight laptop backpack. It is large enough to hold a large 17"" laptop and leave you more than enough space to pack all the necessities for an outdoor trip. Whether you are a college student or a working professional, this is the ideal everyday backpack. Designed with care - Two spacious compartments that can carry 10+ A4-sized books or 2-3 sets of clothes, and all your essential chargers and electronics. - Front access pocket for you to easily carry important small items with two bottle holders on the sides. - Second pocket on the top gives you easy access to your sunglasses or wallet. - Convenient trolley sleeve on the back allows it to be securely placed on a trolley. - Made of luxurious recycled material. - Ultra-comfortable shoulder straps with thick padding. - Air mesh on the back optimises breathability and regulates temperature while you wear the backpack. - Sturdy enough to stand upright on its own even when it is empty. Designed for good - A promise of sustainable and ethical production uppercase is committed to partnering with you in building a world more beautiful. All our products are made from sustainable materials and are GRS (Global Recycle Standard) certified.Our manufacturing processes conform to the highest and most stringent GRS criteria. We ensure fixed working hours, minimum wages, and no child labour. We maintain strict standards in factory safety, energy management, and waste disposal management. We do not use any restricted or harmful chemicals. Every tall boy laptop backpack bought helps reduce 12 1-litre plastic bottles from the planet, helps conserve 151ml of crude oil, and prevents 753g of CO? emission.* *Approximate calculations based on information available on www.textilevaluechain.in",B0B81YTTWS,16.2 x 30.5 x 46 cm; 600 Grams,? Acefour Accessories Pvt. Ltd.
"A sporty versatile Laptop Backpack from MOCA, made of Oxford. It has a top opening compartment & for quick & easy access to essentials while the mesh padding on the back panel will feel comfortable, even on a hot day. This backpack can be carried in 2 ways as it has an additional front handle to hold it in case you’re unable to carry it on your back.",B07C41S782                      ,50 x 31.6 x 10 cm; 1.34 Kilograms,
"ORGANISED DESIGN: This backpack has spacious compartment with built in soft padded sleeves to protect your laptop /Tablet./Ipad. Spacious enough to hold your clothes, files, documents etc. Includes pockets for power bank, hard disk, wallet etc. Front bottom pocket for small items. Side pockets for water bottle, umbrella etc. The main zipper compartment is secured with a magnetic flap closure having small pocket inside for keys. Soft handle for better comfort",B09B5DMGM1,17 x 32 x 47 cm; 1.2 Kilograms," Durant International. Address : GIDC Lodhika, Rajkot-360021, Gujarat. Customer Care : 9809804990"
"This durable and lightweight backpack from Fur Jaden can keep you sorted throughout the day while also being super stylish, thus making it the perfect modern and functional accessory for any user – male or female. This backpack can be the perfect complement to your bold and charismatic persona, while its multiple inner chambers can hold all your stuff with convenience. Fur Jaden backpacks are young, vibrant and fashionable accessories which are also a symbol of sophistication. This backpack is high on aesthetics as well as on utility and functionality. This unisex backpack from Fur Jaden comes in an anti-theft design which lets you carry your laptop anywhere with confidence. Keep your belongings secure as your score high on the style quotient with this functional backpack. One of the most striking features of this backpack is that it allows you to charge your phone while you are travelling. The charging dock which comes attached to the backpack allows you to connect your portable charger seamlessly for maximum convenience.The material of this backpack from Fur Jaden is water resistant, which keeps any worries about getting it wet in the rain or accidental splashes at bay. Your laptop and every other belonging will stay safe from water as long as you keep them inside your backpack. This backpack from Fur Jaden comes with substantial capacity to accommodate your laptop and other goods with ease. The large capacity of this backpack can store laptops up to a 15.6 inches without any hassle. Weighing in at only 0.7kg, this Fur Jaden backpack with anti-theft feature is a breeze to carry around. Most of the weight you will feel is that of the goods you carry inside, as the backpack does not impose much weight on the user. This multipurpose and water resistant backpack from Fur Jaden can take you from day to night, thanks to its multiple compartments. With 1 main compartment and 7 small, inner pockets, it lets you store all your belongings and keeps them sorted too. Pattern: Solid.",B078GLXMDY, 28 x 13 x 42 cm; 600 Grams,"? Fur Jaden, 3-C, Jai Hind Bld, Dr AM Road, Bhuleshwar, Mumbai 400002, 8080888028"
"Modular Bags Anti theft Bag with 1000 D Polyester Fabric with Stylish looks and 190 D inner Linen . Y2K zipper and 100% Rubber sheet to protect your valuable items.If you carry your laptop to and from work, then this laptop bag from Northzone will definitely make travelling easier. Compatibility This backpack can fit a 38.1 cm laptop comfortably. Compartments This bag has three spacious compartments to store the laptop, charger, external devices, and other accessories with ease. Pockets The two mesh pockets on either sides of this black and blue backpack allow you to store a water bottle, ID card and other knick-knacks, so you can access them easily",B0B6874C9G,33 x 20 x 45 cm; 450 Grams, Vanya Enterprises
"NORTHZONE BACKPACK If you carry your laptop to and from work, then this laptop bag from Northzone will definitely make travelling easier. Compatibility This backpack can fit a 38.1 cm laptop comfortably. Compartments This bag has three spacious compartments to store the laptop, charger, external devices, and other accessories with ease. Pockets The two mesh pockets on either sides of this black and blue backpack allow you to store a water bottle, ID card and other knick-knacks, so you can access them easily.",B0BCYX6DW2, ? 50.8 x 30.48 x 25.4 cm; 499 Grams," Northzone, Plot no 35 to 40 KH.No. 28/2 Ground Floor Agar Nagar Prem Nagar Phase 3 Delhi 110086"
"ZUKA backpack has taken good features from both the ANTI THEFT BACKPACK as well as the normal backpack. So while we are having concealed zippers at the back for all the essential and important items, based on the feedback of many users we are now having two pockets in the front for non essentials as well as two water bottle holders on the outside. In essence this is a HYBRID ANTI THEFT BACKPACK. Presenting to you the complete anti-theft backpack in the Market. ""LUXUR BLACK ANTI-THEFT"" The laptop stow compartment has been provided with ample layers of protective padding to protect your valuable laptop. The bag can be opened partially around 90° for quick access or can be fully opened around 180° for complete access with everything visible at a glance, no more groping around in the bag. So if you are looking at an advanced version of THE ANTI THEFT BACKPACK. GO FOR IT!",B0B65P2B1D,32 x 11 x 47 cm; 650 Grams,? FM PURSE PAHAR GANJ NEW DELHI 110055 zuka02021@gmail.com
"Care Instructions: Do not expose to extreme heat The Hype 1 Casual Backpack from Northzone Sport features an elegant look and feel. It is a perfect every day carry for speedy city commutes, college or school. Keeping it unique and stylish, this Northzone backpack features a versatile shaded design with the Northzone logo print on the face of the bag. Sturdy, spacious and elegant are the spirit of this backpack. Plenty of Space & Pockets: This college bags for girls and boys features two spacious compartments that can each fit book, iPad, A4 size files, lunch box, light clothes, school supplies & accessories. It also features a zip compartment with multiple organizer pockets for keys, pens, pencils, cell phone, power bank, etc. The twin mesh pockets on each side helps pack in a water bottle and a compact umbrella. Lightweight & Sturdy: This school bags for girls and boys features a multi ventilated 10mm robust mesh padding that provides maximum back support. The straps are breathable, padded and adjustable that helps to relieve the stress on your shoulder. The top of the backpack features a webbing loop top handle that helps in carrying the backpack with ease. External Dimension: Length – 33cm, Width – 21cm, Height – 49cm, Weight – 1,000 grams. Capacity – 34 litres. Laptop Compatibility – yes",B09MFWNY2C,38.1 x 73.66 x 111.76 cm; 1 Kilograms,? Shaba bags
"Anti Theft Design - This backpack by Diggy has anti theft design where zipper of the main pocket is hidden at the back. No thief, intruder or robber can find a way to open the backpack, making this totally theft proof. There are secret pockets on the shoulder strap and on the backside of the bag allowing us to keep travel documents, boarding pass, credit cards, mobile phone, earphones etc.",? B09QZRZWLL, 28 x 23 x 42 cm; 500 Grams,"Bhumi Traders, Bhumi traders"
HEGHNAR Unisex Travel Hiking Laptop Bag fits Upto 17.3 inch with Raincover and Internal Organiser Backpack Rucksack College Bag,B0BB248K7V,20.32 x 35.56 x 50.8 cm,"BLK Footwear Industries, BLK Footwear Industries"
"A Sporty Versatile School Laptop Collage Office Backpack From Fast Travel, Made Of Polyester. It Has a 3 opening Compartment & 2 For quick & easy access to essential While the mesh padding on the back panel will feel comfortable, even on a hot day. Stylish And Durable Backpack For Office School /College And Travel. Easily Accommodate A Laptop. Size: 46 Cm X 33 Cm X 20 Cm.",B09VCQWRC4, 50.8 x 83.82 x 116.84 cm; 450 Grams,Fast Travel
"LUZIAN backpack is a sleek, light bag with a young-at-heart design that's perfect for school or daily travel. Made for daily use, this bag is not oversized and is meant to carry your essentials. With its trendy looks and easy to organize design, this bag is cute and suave as well as useful, to help you complete your look. Quietly stylish and durable, it features multiple compartments to help organize your stuff. Our brand believes to provide good quality products to our customer so that customer will get satisfaction as they want. Our first priority is to provide the best product to our customers. We are making a product with good quality so that we can fulfill our customer needs.",B09QT2L9H2,? 33 x 6 x 46 cm; 900 Grams,DEW BAGS
"NUMBER OF COMPARTMENTS: Main compartment for carrying laptop accessories, documents, and other work essentials. It also has a large inner zipper pocket, to keep your important documents secured and safe.",B0B6G21Z6D,29 x 15 x 39 cm; 690 Grams,
"Are you bored of lugging around a backpack much too large and unwieldy? This handcrafted uppercase Printed Compact Laptop Backpack is your perfect companion. It comes in a selection of attractive and bold yet elegant prints that makes it a standout accessory for anyone to carry. It carries a full-sized 16"" macbook & 15 "" normal laptop and comes with spacious compartments for your chargers, accessories, and other electronics Designed with care - Holds 4-5 A4-sized books or a change of clothes - Zipper organiser to store your wallet, stationery, and phone charger. - Front access pocket for you to easily carry important small items. - Bottle holder on the side. - Trolley sleeve on the back for longer journeys. - Made of luxurious recycled material and has ultra-comfortable shoulder straps with thick padding. - Air mesh on the back optimises breathability and regulates temperature while you wear the backpack. Designed for good - A promise of sustainable and ethical production uppercase is committed to partnering with you in building a world more beautiful. All our products are made from sustainable materials and are GRS (Global Recycle Standard) certified. Our manufacturing processes conform to the highest and most stringent GRS criteria. We ensure fixed working hours, minimum wages, and no child labour. We maintain strict standards in factory safety, energy management, and waste disposal management. We do not use any restricted or harmful chemicals. Every Compact Laptop Backpack 5A bought helps reduce 6.5 1-litre plastic bottles from the planet, helps conserve 86ml of crude oil, and prevents 425g of CO? emission. Approximate calculations based on information available on www.textilevaluechain.in", B0B9T4YDPX,14.5 x 30.3 x 43 cm; 350 Grams," ? Acefour Accessories Pvt. Ltd., Acefour Accessories Pvt. Ltd. , Lodha Supremus Corp. Tower, Unit 1202,12th Floor,Saki Vihar road, Chandivali, Tunga Village, Opp. MTNL office, Andheri E, Mumbai -400072, Maharashtra, India"
A luggage strap can be inserted and fixed to the handle of the trolley suitcase or suitcase. An anti-theft pocket on the back is designed to protect your wallet or other valuables from thieves.,B07VCY27D7,10.01 x 5 x 2.01 cm; 99.79 Grams,MOCA
Age Range Description: Kid; Pattern Name: Solid; Closure Type: Zipper; Style Name: Daypack Backpacks; Closure Type: Zipper; Pattern Name: Solid; Style Name: Daypack Backpacks; Age Range Description: Kid,B078JWR7YK,33.02 x 21.59 x 45.72 cm; 750 Grams,Cosmus
"Uniquely-designed, magnetic quick-access pocket located on the shoulder strap for you to easily carry important small items and not have to worry about zippers.",B0B8NX7SXR,14.5 x 30 x 46 cm; 511 Grams,"Acefour Accessories Pvt. Ltd., Acefour Accessories Pvt. Ltd. , Lodha Supremus Corp. Tower, Unit 1202,12th Floor,Saki Vihar road, Chandivali, Tunga Village, Opp. MTNL office, Andheri E, Mumbai -400072, Maharashtra, India"
Material: This bag is made from high quality Nylon with polyester lining which is waterproof.; (Lx W x H) 38 cm x 26.7 cm x 51 cm. Unisex backpack for men and women,B07XYTZP4Z,38 x 26.7 x 51 Centimeters,?Red Lemon
"Anti-theft and Humanized Design: TSA lock and hidden zipper with splash resistant fabric increased safety, hidden pockets secure your wallet,laptop,cellphone away from thief, hidden side/back pockets allow you to store and access passport, transport card and key chains easily.",B09WYR26MC,32 x 16 x 47 cm; 1.01 Kilograms,Encon Impex Pvt Ltd
"At Grear, innovation and providing a great shopping experience is the main concept of us. We are committed to providing our consumers with high quality and cost-effective products, which aims to make the consumers really feel the charm of the product itself. Believe us! Choose Grear product, you will not regret!",? B093QCTDDJ, 40 x 25 x 2 cm,
"PREMIUM MATERIAL: Made from high quality, waterproof Polyester material. Premium quality smooth zippers, pullers, buckles.",B0BBB7HN2L,32 x 17 x 45 cm; 1.02 Kilograms,Encon Impex Pvt Ltd
" This Anti-theft bag is made of Water Resistant and Durable Polyester Fabric with enclosed zippers. Ensure a secure and long usage everyday & weekend.Serve purpose as professional work bacpack at office,slim fashion bagpack with usb port,college bookbag, high school big student book bag for boys,girls,teens,travel personal carryon for adults",B08CVBBVTX,?52.7 x 38.7 x 14.5 cm; 930 Grams,?Red Lemon
Large multi-compartment backpack with a padded sleeve for laptops Holds up to 15 inches Laptop; Made in India. Water Resistance PU Coated Durable Fabric with padded back section for comfortable carry; Number of compartments: 2; Number of pockets:2 with 2 Side mash pocket,B078JXC2L4, 33.02 x 21.59 x 45.72 cm; 750 Grams,Cosmus
"US AER Backpack Perfects For Daily Use: Office Work, Go To College School, Business Travel, Go Hiking, Go Camping And Do Other Outdoor Activities, Unisex Style For Both Women And Men. Features: Main compartment: roomy for big items, such as books, clothes, trousers Laptop compartment: can place tablet PC and 15 inch laptop Front compartment: pockets on the front for phone, pen etc Side mesh pockets with buckle closure for water bottle and umbrella",B085M8H3RS, ? 500 Grams,
Material: This bag is made from high quality Nylon with polyester lining which is waterproof.; (Lx W x H) 38 cm x 26.7 cm x 51 cm. Unisex backpack for men and women,B07XYTZP4Z,?38 x 26.7 x 51 cm; 1.23 Kilograms,?Red Lemon
"Anti-theft and Humanized Design: TSA lock and hidden zipper with splash resistant fabric increased safety, hidden pockets secure your wallet,laptop,cellphone away from thief, hidden side/back pockets allow you to store and access passport, transport card and key chains easily.",B09WYR26MC, 32 x 16 x 47 cm; 1.01 Kilograms, Encon Impex Pvt Ltd
"At Grear, innovation and providing a great shopping experience is the main concept of us. We are committed to providing our consumers with high quality and cost-effective products, which aims to make the consumers really feel the charm of the product itself. Believe us! Choose Grear product, you will not regret!",B093QCTDDJ,? 40 x 25 x 2 cm,
"PREMIUM MATERIAL: Made from high quality, waterproof Polyester material. Premium quality smooth zippers, pullers, buckles.",B0BBB7HN2L,32 x 17 x 45 cm; 1.02 Kilograms,Encon Impex Pvt Ltd
"This Anti-theft bag is made of Water Resistant and Durable Polyester Fabric with enclosed zippers. Ensure a secure and long usage everyday & weekend.Serve purpose as professional work bacpack at office,slim fashion bagpack with usb port,college bookbag, high sc",B08CVBBVTX,?52.7 x 38.7 x 14.5 cm; 930 Grams,Red Lemon
Large multi-compartment backpack with a padded sleeve for laptops Holds up to 15 inches Laptop; Made in India. Water Resistance PU Coated Durable Fabric with padded back section for comfortable carry; Number of compartments: 2; Number of pockets:2 with 2 Side mash pocket,B078JXC2L4,33.02 x 21.59 x 45.72 cm; 750 Grams, Cosmus
"The backpack with a variety of young and trendy personality elements. Whether you go to work or use as a school bag, laptop bag, travel bag, this unisex style bag is the best choice,", B085M8H3RS,? 500 Grams,
"Exclusive Power” has unique style and utility requirement. Ergonomically designed with padded base. This Backpack is spacious, lightweight and easy to carry. It is an ideal backpack for daily use, Office, School, College, travel etc. The main compartment with laptop sleeve fits up to 15.6 Inch laptop and one big front compartment for all that you need to carry in a daypack, and a small zip pocket for all small accessories. The adjustable shoulder straps are well padded. Comes with the POLESTAR promise of quality.",B0B4SVHFZJ,28 x 24 x 10 cm; 1.14 Kilograms,"Tushar International, Tushar International"
"ZUKA backpack has taken good features from both the ANTI THEFT BACKPACK as well as the normal backpack. So while we are having concealed zippers at the back for all the essential and important items, based on the feedback of many users we are now having two pockets in the front for non essentials as well as two water bottle holders on the outside. In essence this is a HYBRID ANTI THEFT BACKPACK. Presenting to you the complete anti-theft backpack in the Market. ""LUXUR BLACK ANTI-THEFT"" The laptop stow compartment has been provided with ample layers of protective padding to protect your valuable laptop. The bag can be opened partially around 90° for quick access or can be fully opened around 180° for complete access with everything visible at a glance, no more groping around in the bag. So if you are looking at an advanced version of THE ANTI THEFT BACKPACK. GO FOR IT!",B0B65QFSVW,32 x 11 x 47 cm; 650 Grams,"FM PURSE PAHAR GANJ NEW DELHI 110055 zuka02021@gmail.com, zuka02021@gmail.com"
"Smart and Practical Laptop Backpack Travel hands-free in sleek, forward-thinking style with our Vx Touring 17'' Laptop Backpack. It takes the backpack concept and reinvents it for the most seasoned global business traveler. Detail driven and cleverly constructed, it neatly houses a 17 laptop and all your mobile office essentials. Lockable zippers ensure high security while youre exploring the urban jungle or jetting off to meetings.",B07MH3S3Q1,19 x 31 x 49 cm; 1.08 Kilograms,"Victorinox, Victorinox India Pvt Ltd,022-6262-8888"
"Are you looking for a fully loaded backpack for inter or intra city travel or an adventure trip? Look no further. This handcrafted uppercase Tall Buy Laptop Backpack is the perfect large and sturdy yet stylish and lightweight laptop backpack. It is large enough to hold a large 17"" laptop and leave you more than enough space to pack all the necessities for an outdoor trip. Whether you are a college student or a working professional, this is the ideal everyday backpack. Designed with care - Two spacious compartments that can carry 10+ A4-sized books or 2-3 sets of clothes, and all your essential chargers and electronics. - Front access pocket for you to easily carry important small items with two bottle holders on the sides. - Second pocket on the top gives you easy access to your sunglasses or wallet. - Convenient trolley sleeve on the back allows it to be securely placed on a trolley. - Made of luxurious recycled material. - Ultra-comfortable shoulder straps with thick padding. - Air mesh on the back optimises breathability and regulates temperature while you wear the backpack. - Sturdy enough to stand upright on its own even when it is empty. Designed for good - A promise of sustainable and ethical production uppercase is committed to partnering with you in building a world more beautiful. All our products are made from sustainable materials and are GRS (Global Recycle Standard) certified.Our manufacturing processes conform to the highest and most stringent GRS criteria. We ensure fixed working hours, minimum wages, and no child labour. We maintain strict standards in factory safety, energy management, and waste disposal management. We do not use any restricted or harmful chemicals. Every tall boy laptop backpack bought helps reduce 12 1-litre plastic bottles from the planet, helps conserve 151ml of crude oil, and prevents 753g of CO? emission.* *Approximate calculations based on information available on www.textilevaluechain.in",B0B81WST7X,? 16.2 x 30.5 x 46 cm; 600 Grams,B0B81WST7X
"LARGE CAPACITY AND ORGANIZED?Separate laptop compartment hold 15.6 Inch Laptop as well as 15 Inch,14 Inch and 13 Inch Macbook/Laptop. Spacious packing compartment for daily Luch box and clothing.Third compartment with many small pockets for necessities,electronics ,pen and key fob hook, make your items organized and easier to find. Front compartment with many pockets, front zipper pocket for the ID card, Sanitizer,masks.",B09WYTK2DH,33 x 17 x 50 cm; 900 Grams,Encon Impex Pvt Ltd
"ANTI-THEFT DESIGN & LOCK: A built-in lock gives the backpack an added level of security. One hidden zipper pocket on the back to pack your wallet, money, cards, etc. This invisible design increases the security of your belongings.",B09ZYNCKQ7,30 x 16 x 47 cm; 1.19 Kilograms,Encon Impex Pvt Ltd
"PREMIUM MATERIAL: This stylish attractive backpack is made of water-resistant synthetic Vegan Leather material. For the inner lining, we use soft feel polyester fabric. The metal fittings, zipper and plastic buckles used are of .",B07NDVJW44,32 x 15 x 42 Centimeters,The Clownfish
"Are you bored with the same old U-shaped backpacks? Are you bored with backpacks that are as thin and have no character? If so, we are glad you are reading this. If you frequently travel away from home for a day or need space to carry a pair of clothes, this handcrafted uppercase backpacks is the perfect stylish and sturdy yet lightweight laptop backpack. It is large enough to hold a 15"" laptop and leave you more than enough space to pack all the necessities for an outdoor trip. Whether you are a college student or a working professional, this is the ideal everyday backpack. Designed with care - One spacious compartments that can carry 5+ A3-sized books, a set of clothes, and all your essential chargers and electronics. - Front access pocket for you to easily carry important small items with two bottle holders on the sides. - Convenient trolley sleeve on the back allows it to be securely placed on a trolley for longer journeys. - Air mesh on the back optimises breathability and regulates temperature while you wear the backpack. - Sturdy enough to stand upright on its own even when it is empty. The superior quality of our materials can be seen and felt while holding the bag. Designed for good - A promise of sustainable and ethical production uppercase is committed to partnering with you in building a world more beautiful. All our products are made from sustainable materials and are GRS (Global Recycle Standard) certified. Our manufacturing processes conform to the highest and most stringent GRS criteria. We ensure fixed working hours, minimum wages, and no child labour. We maintain strict standards in factory safety, energy management, and waste disposal management. We do not use any restricted or harmful chemicals. Every vegan leather backpack bought helps reduce 7 1-litre plastic bottles from the planet, helps conserve 89ml of crude oil, and prevents 444g of CO? emission.* *Approximate calculations based on information available on www.textilevaluechain.in",B0B69M182Q,28.2 x 14.1 x 42.2 cm; 554 Grams," Acefour Accessories Pvt. Ltd., Acefour Accessories Pvt. Ltd. , Lodha Supremus Corp. Tower, Unit 1202,12th Floor,Saki Vihar road, Chandivali, Tunga Village, Opp. MTNL office, Andheri E, Mumbai -400072, Maharashtra, India"
"PREMIUM MATERIAL: Made from high quality, waterproof Polyester material. Premium quality smooth zippers, pullers, buckles.; ORGANISED DESIGN: This backpack has one roomy spaced compartment with built in soft padded sleeves to protect your laptop as wll as Tablet. Spacious enough to hold your folders, documents etc. Organizer pockets to store mobile, power bank etc.. Soft handle for better comfort.",B09VDSNSRC,32 x 17 x 45 cm; 1.02 Kilograms,Encon Impex Pvt Ltd
"The backpack with a variety of young and trendy personality elements. Whether you go to work or use as a school bag, laptop bag, travel bag, this unisex style bag is the best choice,",B085M5MNX2,48 x 38 x 24 cm; 510 Grams,US AER
"PRACTICAL AND ELEGANT:Made with Oxford Fabric, a stylish laptop bag for daily travel and short trips; Age Range Description: Adult; Style Name: Travel Backpacks; Pocket Description: Utility Pocket; Special Features: Laptop Compartment",B084LFS4G1,41.91 x 13.97 x 31.75 cm; 400 Grams,Fatmug Designs
Pattern Type : Pure Color || Closure Type : Zipper || Gender : Unisex,B09LVPX7HX,17.78 x 13 x 48.26 cm; 400 Grams,ICEMART
"Anti-theft and Humanized Design: TSA lock and hidden zipper with splash resistant fabric increased safety, hidden pockets secure your wallet,laptop,cellphone away from thief, hidden side/back pockets allow you to store and access passport, transport card and key chains easily.",B09WYT7DD7,32 x 16 x 47 cm; 1.01 Kilograms,Encon Impex Pvt Ltd
"PREMIUM MATERIAL: This multifunctional bag is made of high quality Water Repellent polyester material in black color to protect your goods from water. For the inner lining, soft feel premium quality polyester is used. The hardware such as strengthened hooks, zippers and buckles used are wear resistant, smooth, of premium quality and durable.",B09RK4BRPM, 32 x 15 x 45 cm; 850 Grams,
"This backpack comes with a USB Port which help to charge device with usb cable , anytime and anywhere.(note : Usb cable does not come with this bag).",B0B7XBZYFS,30 x 12 x 41 cm; 670 Grams," NISUN INC., B-201, Greenfield 4+, Vadodara, Gujarat-391410 Email: sales@nisun.in, Phone: 63527-67213"
"PREMIUM MATERIAL: This multifunctional convertible bag is made of water resistant Polyester. For the inner lining, soft feel polyester is used. The metal fittings such as zinc alloy pullers, hooks, plastic buckles used are of .",B086816K8Z, 30 x 9 x 43 cm; 1.11 Kilograms,The Clownfish
"PREMIUM MATERIAL: Made from high quality, waterproof Polyester material. Premium quality smooth zippers, pullers, buckles.",B09ZYNWX53,30 x 15 x 46 cm; 1.04 Kilograms,Encon Impex Pvt Ltd
The successful successor of the Origami Office backpack and a great addition to our Origami collection. Elegance meets utility Perfect for travel and office use, B09P87MSHM,,
These backpacks are strong enough and large enough to carry your lap top or Mac book to lectures and classes.,B081QFR5N8,15 x 10 x 10 cm; 644.1 Grams,
Waterproof material: Bange laptop backpack made of high-density coated oxford fabric not only waterproof and resistant but also scratch-resistant;Special Features: Laptop Compartment; Style Name: Modern; Age Range Description: Adult; Lining Description: Polyester; Material Type: Polyester,B09ZYPHJKH,31 x 14 x 48 cm; 1.29 Kilograms,Encon Impex Pvt Ltd
"MADE IN INDIA : We Made this Elegant Laptop Bag in Our own Factory located in Mumbai. We offer 1 Year Manufacturer Warranty FREE NO-TOUCH DOOR OPENER: This Door Opener Keychain can be used to avoid touching surfaces contactless. Use it on door handles, ATM keypads, elevators, retail checkout payment pads etc; Age Range Description: Adult; Pattern Name: Solid; Closure Type: Zipper Snap; Color Name: D.Grey; Pattern Name: Solid; Age Range Description: Adult; Closure Type: Zipper Snap",B08D7DTWLF,?33 x 17 x 47 cm; 650 Grams,COSMUSBAGS PVT.LTD.
"Structure: The whole backpack is closed with two magnetic buckles, and the main pocket with laptop compartment inside is double zippers closure, the large capacity of the backpack allows for your many stuff. Two side pockets are designed for your bottle. One front zippered pocket with a smaller one are convenient to get your daily personal things;Durable Fabric: Made of 600D Nylon Fabric, CONTACTS Backpack is lightweight, scratch-resistant, splash proof",B085WPWY1W,41.91 x 12.95 x 29.97 cm; 600 Grams,"RECREATE ENGINEERING PRODUCTS PVT LTD., 83A, CHOWRINGHEE ROAD, KOLKATA - 700020., MOB - 90739 08504"
"E-Umbrella Pocket and water bottle Pocket designed left/right side, Bag comes in a variety of colors to reflect your style & needs. Can be served as travel Bag, hand luggage, laptop bag, business backpack, laptop rucksack, school backpack , bike backpack, professional laptop bagpack for notebook, good for outdoor hiking, casual travel, campus for boys and girls. Ideal gifts for dad / mother / teacher as birthday gift, for friend as friendship gift.",B09WYTBPDZ, 33 x 17 x 50 cm; 900 Grams,Encon Impex Pvt Ltd
Waterproof material: Bange laptop backpack made of high-density coated oxford fabric not only waterproof and resistant but also scratch-resistant;Special Features: Laptop Compartment; Lining Description: Polyester; Age Range Description: Adult; Style Name: Modern; Material Type: Polyester,B09ZYNHVKZ,31 x 14 x 48 cm; 1.29 Kilograms,Encon Impex Pvt Ltd
"Large multi-compartment backpack with a padded sleeve for laptops, can hold up to 17 inch laptop/notebook",?B09B27S9SG,33 x 47 x 20 Centimeters,?Safari Industries
"Impact-resistant design. ID pouch, Mobile phone pouch. Zipper hidden pouch, Laptop slot, and Tablet slot. USB Charging slot on the outside. Shape-retaining construction. Water-resistant fabric. Premium leather zipper pulls. Top carry handle with leather grip. Air mesh back padding. Adjustable padded shoulder straps with metallic buckle and leather accents.",B09ZYMT7V1,30 x 17 x 48 cm; 1.63 Kilograms,Encon Impex Pvt Ltd
"MADE IN INDIA : We Made this Elegant Laptop Bag in Our own Factory located in Mumbai. We offer 1 Year Manufacturer Warranty FREE NO-TOUCH DOOR OPENER: This Door Opener Keychain can be used to avoid touching surfaces contactless. Use it on door handles, ATM keypads, elevators, retail checkout payment pads etc; Closure Type: Zipper Snap; Pattern Name: Solid; Age Range Description: Adult; Pattern Name: Solid; Age Range Description: Adult; Closure Type: Zipper Snap",B08D7D21FV,?32.5 x 16.25 x 46.25 cm; 590 Grams,"?COSMUSBAGS PVT.LTD., COSMUSBAGS PVT.LTD."
